EMA3104|Cơ học chất lỏng thực nghiệm
INT3404|Xử lý ảnh
INT3306|Phát triển ứng dụng Web
MAT1099|Phương pháp tính
EMA3085|Robot công nghiệp
FLF2103|Tiếng Anh cơ sở 3
EMA2041|Phương trình vi phân và đạo hàm riêng
CTE2007|Hình họa - họa hình
EMA2013|Lý thuyết điều khiển tự động
ELT3094|Nhập môn Xử lý tín hiệu cho hệ thống đa phương tiện
INT3209|Khai phá dữ liệu
INT3131|Dự án khoa học
EPN2014|Vật lý bán dẫn và linh kiện
INT3307|An toàn và an ninh mạng
INT3115|Thiết kế giao diện người dùng
EMA2024|Kỹ thuật đo lường và cảm biến
INT4002|Thực tập doanh nghiệp
AER2005|Cơ học kỹ thuật cho Công nghệ Hàng không Vũ trụ
EMA3092|Động lực học - môi trường không khí và đồ án
EMA2004|Cơ học môi trường liên tục
INT1050|Toán học rời rạc
INT3308|Đánh giá hiệu năng mạng
ELT2040|Điện tử tương tự
INT3401|Trí tuệ nhân tạo
INT2044|Lý thuyết thông tin
ELT3134|Thực tập Kỹ thuật điện tử
EMA3091|Động lực học sông và đồ án
EET2001|Hóa học hữu cơ
INT3501|Khoa học dịch vụ
INT2205|Kiến trúc máy tính
CTE2002|Cơ học lý thuyết
CTE3002|Thủy văn
EPN3035|Vật liệu bán dẫn cấu trúc nanô
PHI1006|Triết học Mác - Lênin
EMA3028|Kỹ thuật xung - số - tương tự và kỹ thuật đo và điều khiển
EMA2033|Cơ sở thiết kế máy
CTE3005|Trắc địa
PES1550|Lý luận GDTC và các môn thể thao cơ bản
ELT3045|Nhập môn hệ thống và mạch cao tần
PHY1105|Vật lý hiện đại
EMA3110|Kỹ thuật đường ống
JAP4023|Tiếng Nhật 2A
INT3117|Kiểm thử và đảm bảo chất lượng phần mềm
ELT3071|Hệ thống nhúng thời gian thực
